trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'a': 0.0986008946447315, 'e': 0.6168988460667556}",30,0,-103.77671528425886,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
152,False,"{'a': 0.0986008946447315, 'e': 0.6121655155710133}",20,10,-37.78403360892898,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.0986008946447315, 'e': 0.6074101471828242}",30,0,-66.27000764415587,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
154,False,"{'a': 0.0986008946447315, 'e': 0.6026329120949367}",25,12,-3.9348877819155117,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.0986008946447315, 'e': 0.5978339822872982}",20,0,-174.72216480832185,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
156,False,"{'a': 0.0986008946447315, 'e': 0.5930135305208633}",20,0,-40.92491245796027,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
157,False,"{'a': 0.0986008946447315, 'e': 0.588171730331375}",20,0,-107.17420222024994,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
158,False,"{'a': 0.0986008946447315, 'e': 0.5833087560231173}",25,4,-79.31989607569807,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 1}",1
159,False,"{'a': 0.0986008946447315, 'e': 0.57842478266264}",25,0,-23.82295909133099,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",1
160,False,"{'a': 0.0986008946447315, 'e': 0.5735199860724567}",25,8,-54.257277450558256,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
161,False,"{'a': 0.0986008946447315, 'e': 0.5685945428247148}",20,0,-70.79835842926722,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
162,False,"{'a': 0.0986008946447315, 'e': 0.5636486302348394}",25,0,-210.40305287113998,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
163,False,"{'a': 0.0986008946447315, 'e': 0.5586824263551494}",20,10,-14.434207329768785,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.0986008946447315, 'e': 0.5536961099684484}",25,12,-68.93393734893259,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
